timestep,value
336,6.455611505475683
337,6.413196947166919
338,6.4681740977835736
339,6.668856464573809
340,6.664137609804293
341,6.772398095569813
342,7.360625712382598
343,8.10993963176603
344,8.811383968577305
345,9.28766248828871
346,9.589244350311413
347,9.412939424636786
348,8.636571639200547
349,8.192057164844236
350,7.864620310388146
351,7.654874826734753
352,7.538174870234041
353,7.1239471233122655
354,6.755647279724415
355,6.6580842068123225
356,6.804436338316205
357,6.96629464584096
358,7.056931116971393
359,6.99960909160534
360,6.647192740017121
361,6.583319512590987
362,6.6303605505773575
363,6.828111373309717
364,6.822306658888471
365,6.930166122558237
366,7.5182470811701325
367,8.26750762887741
368,8.968932528156628
369,9.445204515379947
370,9.746784466436443
371,9.570477973885836
372,8.794107959646821
373,8.349593975580309
374,8.02215762539366
375,7.812413037990525
376,7.695714020199538
377,7.281487205675618
378,6.913185040442147
379,6.815622392997242
380,6.961976067909697
381,7.12383585124808
382,7.214474109079951
383,7.157152770358913
384,6.804736672038231
385,6.7408635382702915
386,6.787904610894502
387,6.985655446421837
388,6.979850736739918
389,7.087710202159979
390,7.6757911614119765
391,8.4250517093522
392,9.126476608716255
393,9.602748595968086
394,9.904328547032922
395,9.728022054489156
396,8.951652040259868
397,8.507138056191215
398,8.179701706002366
399,7.9699571185953175
400,7.853258100800234
401,7.439031286272245
402,7.070729121048907
403,6.973166473602145
404,7.119520148507865
405,7.281379931839806
406,7.372018189663879
407,7.3146968509398445
408,6.962280752618057
409,6.898407618849707
410,6.945448691473767
411,7.1431995270010455
412,7.137394817319106
413,7.245254282739159
414,7.833335241991155
415,8.582595789931377
416,9.284020689295433
417,9.760292676547264
418,10.061872627612102
419,9.885566135068334
420,9.109196120839046
421,8.664682136770393
422,8.337245786581544
423,8.127501199174496
424,8.010802181379413
425,7.5965753668514235
426,7.2282732016280855
427,7.1307105541813245
428,7.277064229087044
429,7.438924012418984
430,7.529562270243058
431,7.472240931519022
